[08-Apr-2014 10:01:05 Europe/Moscow] PHP Fatal error:  require_once(): Failed opening required 'rpcl/rpcl.inc.php' (include_path='C:\MyIISServices\mantis\core\;C:\MyIISServices\mantis\library;.;C:\php\pear;C:\MyIISServices\mantis\plugins\MantisGraph\core\') in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\rpcl\jquery\jquery.inc.php on line 26
[09-Apr-2014 14:22:51 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 57
[09-Apr-2014 14:22:56 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 57
[09-Apr-2014 14:23:33 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 57
[09-Apr-2014 14:24:43 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 57
[09-Apr-2014 14:24:57 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 57
[09-Apr-2014 14:25:19 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 57
[09-Apr-2014 14:25:24 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 57
[09-Apr-2014 14:26:43 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 57
[09-Apr-2014 14:29:16 Europe/Moscow] PHP Parse error:  syntax error, unexpected ';', expecting T_FUNCTION in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\unit_page2.php on line 58
[10-Apr-2014 13:41:55 Europe/Moscow] PHP Parse error:  syntax error, unexpected T_STRING in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_main.php on line 122
[10-Apr-2014 13:42:06 Europe/Moscow] PHP Parse error:  syntax error, unexpected T_STRING in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_main.php on line 122
[18-Apr-2014 11:54:33 Europe/Moscow] PHP Parse error:  syntax error, unexpected $end in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(9) : eval()'d code on line 1
[18-Apr-2014 15:17:30 Europe/Moscow] PHP Parse error:  syntax error, unexpected ')' in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(9) : eval()'d code on line 1
[18-Apr-2014 15:17:33 Europe/Moscow] PHP Parse error:  syntax error, unexpected ')' in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(9) : eval()'d code on line 1
